Percent,Model,mean_score,median_score,std_score,count
5,", RF",0.6845210526315789,0.6635,0.12129548209479275,19
5,", RF GFHF",0.624378947368421,0.6364,0.06669544028182112,19
5,", RF kNN-LDP",0.6572357142857143,0.63095,0.12082544693223206,14
5,", RF pós-HDBScanSSC",0.6311736842105263,0.5923,0.10410687799940803,19
5,", SVM",0.6528263157894737,0.6306,0.12378807536406398,19
5,", SVM GFHF",0.623278947368421,0.6333,0.06454764458175553,19
5,", SVM kNN-LDP",0.6542857142857142,0.6214,0.1247057512531174,14
5,", SVM pós-HDBScanSSC",0.627521052631579,0.5903,0.10726152141662072,19
5,", kNN-LDP",0.5935684210526315,0.5765,0.13849888107302358,19
5,HDBScanSSC (transdução),0.6450947368421053,0.6181,0.0924573924313501,19
10,", RF",0.7165315789473684,0.7129,0.11563165201348817,19
10,", RF GFHF",0.6590105263157895,0.653,0.08610939356898709,19
10,", RF kNN-LDP",0.6584526315789474,0.6353,0.12123715679252176,19
10,", RF pós-HDBScanSSC",0.6732315789473684,0.638,0.11415426722267635,19
10,", SVM",0.6792,0.6698,0.1312316950198304,19
10,", SVM GFHF",0.6560526315789473,0.6612,0.0836115447133751,19
10,", SVM kNN-LDP",0.6558368421052632,0.6257,0.12354907801502438,19
10,", SVM pós-HDBScanSSC",0.6660736842105264,0.6331,0.12082220106009428,19
10,", kNN-LDP",0.6472315789473684,0.6425,0.12565635701578945,19
10,HDBScanSSC (transdução),0.6904789473684211,0.6705,0.09840079933588709,19
15,", RF",0.7351210526315789,0.7635,0.1164663736828378,19
15,", RF GFHF",0.6860052631578948,0.6934,0.08690165881094312,19
15,", RF kNN-LDP",0.6826631578947367,0.6629,0.12430481893995866,19
15,", RF pós-HDBScanSSC",0.6974157894736842,0.6749,0.11381773569643848,19
15,", SVM",0.7057157894736842,0.7354,0.12516663676501152,19
15,", SVM GFHF",0.6820578947368421,0.6872,0.08260724555112499,19
15,", SVM kNN-LDP",0.6777052631578947,0.655,0.12848530600675365,19
15,", SVM pós-HDBScanSSC",0.6929421052631579,0.6663,0.11921360062131929,19
15,", kNN-LDP",0.6804894736842105,0.6665,0.1164854206172355,19
15,HDBScanSSC (transdução),0.7204421052631579,0.7085,0.09494273897571379,19
